"Variable";"Mean";"Median";"Sd";"Min";"Pctile[25]";"Pctile[75]";"Max";"Mean";"Median";"Sd";"Min";"Pctile[25]";"Pctile[75]";"Max";"Test"
"... (2000,2005]";"10";"9%";"";"";"";"";"";"10";"9%";"";"";"";"";"";""
"... (2005,2010]";"9";"8%";"";"";"";"";"";"9";"8%";"";"";"";"";"";""
"... (2010,2021]";"18";"17%";"";"";"";"";"";"18";"17%";"";"";"";"";"";""
"Date_Incorporation";"1992";"1996";"22";"1902";"1989";"2005";"2018";"1991";"1997";"26";"1872";"1990";"2005";"2018";"F=0.094"
"No_AI_PatentsYearGUOtotal";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";""
"No_subs_extended";"26";"14";"40";"1";"5";"32";"318";"30";"13";"53";"1";"5";"31";"399";"F=0.3"
"operating_revenue_turnover";"504122";"171482";"814214";"106";"61358";"541200";"4971401";"787315";"130285";"2018234";"0.012";"49240";"387604";"12862182";"F=1.26"
"number_of_employees";"3989";"1050";"9205";"7";"371";"3306";"45500";"5434";"750";"19487";"1";"290";"3206";"143643";"F=0.264"
"number_patents_year";"38";"9";"59";"1";"4";"42";"231";"52";"22";"84";"1";"9";"56";"413";"F=0.702"
"NoPatentsYearGUOalone";"55";"5.5";"145";"0";"0";"44";"1298";"63";"9";"159";"0";"0";"52";"1233";"F=0.172"
"NoPatentsYearALLSubs";"24";"2";"60";"0";"0";"14";"347";"43";"3.5";"127";"0";"0";"25";"886";"F=1.943"
"Stock_value";"-1.1";"2.3";"32";"-237";"1.5";"4";"21";"2.7";"1.9";"2.4";"-0.89";"0.97";"3.7";"11";"F=0.833"
"Market_capitalisation";"-0.94";"2.2";"31";"-237";"1.5";"3.4";"20";"2.6";"1.8";"2.5";"-0.83";"0.92";"3.5";"11";"F=0.739"
"total_granted_ai";"0";"0";"0";"0";"0";"0";"0";"3.2";"1";"9.9";"1";"1";"2";"94";"F=11.435***"
