"Variable";"Mean";"Median";"Sd";"Min";"Pctile[25]";"Pctile[75]";"Max";"Mean";"Median";"Sd";"Min";"Pctile[25]";"Pctile[75]";"Max";"Test"
"... (2000,2005]";"10";"9%";"";"";"";"";"";"10";"9%";"";"";"";"";"";""
"... (2005,2010]";"9";"8%";"";"";"";"";"";"9";"8%";"";"";"";"";"";""
"... (2010,2021]";"18";"17%";"";"";"";"";"";"18";"17%";"";"";"";"";"";""
"Date_Incorporation";"1992";"1996";"22";"1902";"1989";"2005";"2018";"1991";"1997";"26";"1872";"1990";"2005";"2018";"F=0.094"
"No_AI_PatentsYearGUOtotal";"1.3";"1";"0.7";"1";"1";"1";"4";"1.5";"1";"1.1";"1";"1";"2";"8";"F=2.265"
"No_subs_extended";"26";"14";"40";"1";"5";"32";"318";"30";"13";"53";"1";"5";"31";"399";"F=0.3"
"operating_revenue_turnover";"495628";"172337";"803912";"179";"46427";"571671";"5128656";"788352";"133700";"2058099";"0";"42009";"367833";"13028472";"F=1.397"
"number_of_employees";"3930";"986";"9086";"1";"239";"3495";"55400";"5839";"838";"23185";"3";"332";"2899";"180639";"F=0.378"
"number_patents_year";"39";"19";"51";"1";"5";"42";"208";"59";"23";"142";"1";"10";"41";"849";"F=0.941"
"NoPatentsYearGUOalone";"61";"9.5";"153";"0";"1";"57";"1360";"73";"16";"178";"0";"1.8";"68";"1491";"F=0.281"
"NoPatentsYearALLSubs";"27";"3";"62";"0";"0";"18";"347";"65";"6.5";"226";"0";"0";"36";"1998";"F=2.793*"
"Stock_value";"-7.4";"2.4";"77";"-604";"1.6";"4.4";"20";"3.6";"2";"4.9";"-1.4";"1.2";"4.2";"24";"F=1.255"
"Market_capitalisation";"-11";"2";"101";"-799";"1.3";"3.9";"22";"3.2";"2";"3.7";"-1.2";"1";"3.8";"17";"F=1.156"
"total_granted_ai";"0";"0";"0";"0";"0";"0";"0";"3.2";"1";"9.9";"1";"1";"2";"94";"F=11.435***"
