"Variable";"Mean";"Median";"Sd";"Min";"Pctile[25]";"Pctile[75]";"Max";"Mean";"Median";"Sd";"Min";"Pctile[25]";"Pctile[75]";"Max";"Test"
"... Large company";"1";"2%";"";"";"";"";"";"1";"2%";"";"";"";"";"";""
"... Medium sized company";"9";"16%";"";"";"";"";"";"9";"16%";"";"";"";"";"";""
"... Small company";"6";"11%";"";"";"";"";"";"6";"11%";"";"";"";"";"";""
"... Very large company";"40";"71%";"";"";"";"";"";"40";"71%";"";"";"";"";"";""
"Agegroup";"56";"";"";"";"";"";"";"56";"";"";"";"";"";"";"X2=0"
"... (0,1980]";"2";"4%";"";"";"";"";"";"2";"4%";"";"";"";"";"";""
"... (1980,2000]";"31";"55%";"";"";"";"";"";"31";"55%";"";"";"";"";"";""
"... (2000,2005]";"6";"11%";"";"";"";"";"";"6";"11%";"";"";"";"";"";""
"... (2005,2010]";"7";"12%";"";"";"";"";"";"7";"12%";"";"";"";"";"";""
"... (2010,2021]";"10";"18%";"";"";"";"";"";"10";"18%";"";"";"";"";"";""
"Date_Incorporation";"1999";"1999";"13";"1926";"1994";"2007";"2016";"1998";"1998";"19";"1874";"1993";"2007";"2016";"F=0.077"
"No_AI_PatentsYearGUOtotal";"1.7";"1";"1.3";"0";"1";"2";"7";"4.2";"2";"8.8";"0";"1";"3.2";"61";"F=4.439**"
"No_subs_extended";"27";"12";"34";"1";"3.8";"36";"157";"29";"9.5";"60";"1";"3";"29";"399";"F=0.031"
"operating_revenue_turnover";"665711";"199766";"979295";"0";"54076";"866529";"4467860";"942398";"110454";"2881137";"0";"38300";"290691";"15120878";"F=0.324"
"number_of_employees";"6600";"2880";"13860";"1";"266";"6511";"67900";"10183";"695";"37357";"4";"232";"2138";"211313";"F=0.268"
"number_patents_year";"46";"20";"124";"1";"4.5";"29";"656";"98";"12";"244";"1";"6";"44";"1196";"F=0.986"
"NoPatentsYearGUOalone";"34";"5.5";"72";"0";"0";"23";"394";"41";"8.5";"67";"0";"1";"47";"319";"F=0.353"
"NoPatentsYearALLSubs";"23";"3.5";"51";"0";"0";"24";"308";"82";"5";"218";"0";"0";"54";"1200";"F=3.94**"
"Stock_value";"6.6";"3";"8.2";"0.28";"1.8";"7.1";"31";"0.92";"3.4";"15";"-72";"1.9";"5.2";"17";"F=3.248*"
"Market_capitalisation";"5.8";"2.6";"7.5";"0.25";"1.5";"6";"29";"0.47";"2.6";"13";"-60";"1.5";"4.2";"13";"F=4.022**"
"total_granted_ai";"0";"0";"0";"0";"0";"0";"0";"4.8";"1";"14";"1";"1";"2";"94";"F=6.946***"
