"Variable";"Mean";"Median";"Sd";"Min";"Pctile[25]";"Pctile[75]";"Max";"Mean";"Median";"Sd";"Min";"Pctile[25]";"Pctile[75]";"Max";"Test"
"new_treat";"0";"";"";"";"";"";"";"1";"";"";"";"";"";"";""
"Quartile";"104";"";"";"";"";"";"";"104";"";"";"";"";"";"";"X2=0"
"... Bottom";"5";"5%";"";"";"";"";"";"5";"5%";"";"";"";"";"";""
"... IQR";"29";"28%";"";"";"";"";"";"29";"28%";"";"";"";"";"";""
"... Top";"70";"67%";"";"";"";"";"";"70";"67%";"";"";"";"";"";""
"CurrentYear";"2017";"2017";"2.2";"2012";"2015";"2019";"2019";"2017";"2017";"2.2";"2012";"2015";"2019";"2019";"F=0"
"Year_before_adoption";"2015";"2015";"2.2";"2010";"2013";"2017";"2017";"2015";"2015";"2.2";"2010";"2013";"2017";"2017";"F=0"
"Relatedness_Cos2";"15";"14";"11";"0";"8";"23";"50";"17";"17";"11";"0";"9.5";"26";"42";"F=2.965*"
"NoPatentsYearGUOtotal";"89";"25";"191";"0";"6";"81";"1617";"163";"44";"433";"0";"17";"136";"3461";"F=2.533"
"Specializations_Number";"11";"6";"11";"0";"2";"16";"65";"14";"10";"14";"0";"4";"18";"71";"F=2.621"
"UniqueCodes";"3.6";"3";"2";"1";"2";"5";"8";"3.8";"3";"2.1";"1";"2";"6";"8";"F=0.488"
"UniqueSubclass";"20";"10";"26";"1";"4";"28";"192";"27";"16";"33";"1";"6";"32";"192";"F=2.378"
"Herfindahl";"0.4";"0.3";"0.29";"0.064";"0.17";"0.53";"1";"0.36";"0.29";"0.27";"0.03";"0.17";"0.47";"1";"F=1.101"
"Shannon";"2.1";"2.2";"1.3";"0";"0.99";"3.2";"5";"2.3";"2.2";"1.3";"0";"1.6";"3.3";"5.5";"F=1.726"
"AIcodes";"1.3";"1";"1.2";"0";"0";"2";"5";"1.3";"1";"1.3";"0";"0";"2";"5";"F=0"
"Rate_granted";"0.4";"0.46";"0.27";"0";"0.21";"0.6";"0.96";"0.64";"0.65";"0.22";"0";"0.52";"0.8";"1";"F=49.13***"
"avg_claims";"17";"15";"12";"0";"9.2";"20";"87";"14";"14";"7.4";"3.7";"7.7";"18";"43";"F=4.199**"
"avg_number_of_family_members";"4.9";"3.3";"4.8";"1";"2";"6.1";"26";"4.9";"3.2";"5.2";"0";"1.6";"6.8";"32";"F=0.001"
"avg_backward_citations";"8.7";"4.1";"14";"0";"2.5";"8.9";"112";"7.7";"2.6";"19";"0";"1.5";"5.4";"164";"F=0.163"
"avg_forward_citations";"5.2";"2.9";"6.9";"0";"1.8";"6";"47";"6.6";"2.4";"18";"0";"1.4";"4.6";"163";"F=0.525"
