"Variable";"Mean";"Median";"Sd";"Min";"Pctile[25]";"Pctile[75]";"Max";"Mean";"Median";"Sd";"Min";"Pctile[25]";"Pctile[75]";"Max";"Test"
"avg_time_filing_to_publication";"697";"661";"387";"48";"379";"993";"1701";"876";"871";"403";"216";"612";"1122";"1966";"F=10.434***"
"avg_time_filing_to_grant";"1144";"1180";"506";"236";"787";"1471";"2514";"1212";"1313";"547";"210";"816";"1576";"2378";"F=0.733"
"avg_time_publication_to_grant";"69";"0";"170";"-5.7";"0";"60";"1237";"132";"0";"286";"-1.2";"0";"135";"1736";"F=3.07*"
"n_granted_na";"38";"12";"81";"1";"4";"35";"693";"58";"16";"150";"0";"5.5";"51";"1107";"F=1.386"
"n_granted_yes";"53";"10";"116";"0";"2";"41";"924";"107";"30";"289";"0";"6.5";"82";"2354";"F=3.052*"
"Rate_success_subs";"0.45";"0.5";"0.33";"0";"0";"0.69";"1";"0.63";"0.64";"0.28";"0";"0.48";"0.88";"1";"F=13.444***"
"Rate_success_HQ";"0.4";"0.4";"0.26";"0";"0.25";"0.6";"1";"0.61";"0.65";"0.27";"0";"0.47";"0.8";"1";"F=25.528***"
"n_granted_yes_HQ";"39";"4";"102";"0";"0";"26";"823";"48";"6";"120";"0";"1";"42";"1005";"F=0.38"
"n_granted_na_HQ";"27";"7";"63";"0";"1";"28";"539";"30";"6";"74";"0";"0";"24";"598";"F=0.109"
"avg_time_filing_to_publication_HQ";"674";"643";"349";"101";"422";"930";"1647";"843";"783";"414";"63";"595";"1096";"2154";"F=7.843***"
"avg_time_filing_to_grant_HQ";"1088";"1147";"521";"207";"656";"1424";"2514";"1207";"1284";"558";"196";"778";"1560";"2405";"F=1.709"
"avg_time_publication_to_grant_HQ";"64";"0";"179";"-5.9";"0";"3.3";"1237";"159";"0";"332";"-1.2";"0";"137";"1736";"F=4.309**"
"n_granted_yes_subsidiaries";"14";"1";"32";"0";"0";"13";"207";"59";"3";"248";"0";"0";"32";"2354";"F=3.193*"
"n_granted_na_subsidiaries";"11";"2";"28";"0";"0";"7";"172";"28";"2";"117";"0";"0";"16";"1107";"F=1.958"
"avg_time_filing_to_publication_subsidiaries";"724";"615";"475";"48";"266";"1046";"1701";"939";"906";"588";"210";"431";"1185";"3152";"F=5.59**"
"avg_time_filing_to_grant_subsidiaries";"1145";"1273";"631";"126";"567";"1540";"2680";"1218";"1156";"714";"210";"696";"1640";"3492";"F=0.345"
"avg_time_publication_to_grant_subsidiaries";"65";"0";"158";"-4.4";"0";"4.4";"663";"45";"0";"113";"-2.1";"0";"0";"489";"F=0.622"
"Patent_productivity";"0.0008";"0";"0.0024";"0";"0";"0.00037";"0.013";"0.00084";"0.00013";"0.0015";"0";"0";"0.0011";"0.0099";"F=0.012"
"Patent_output_per_employee";"0.0042";"0";"0.01";"0";"0";"0.0022";"0.056";"0.013";"0.0012";"0.037";"0";"0";"0.0097";"0.25";"F=3.154*"
"RandD_Year";"28598";"8947";"58409";"-661";"999";"27688";"364119";"34861";"8990";"77766";"0";"2980";"27599";"457364";"F=0.279"
"Size_class";"104";"";"";"";"";"";"";"104";"";"";"";"";"";"";"X2=0"
"... Large company";"5";"5%";"";"";"";"";"";"5";"5%";"";"";"";"";"";""
"... Medium sized company";"11";"11%";"";"";"";"";"";"11";"11%";"";"";"";"";"";""
"... Small company";"7";"7%";"";"";"";"";"";"7";"7%";"";"";"";"";"";""
"... Very large company";"81";"78%";"";"";"";"";"";"81";"78%";"";"";"";"";"";""
"Agegroup";"104";"";"";"";"";"";"";"104";"";"";"";"";"";"";"X2=0"
"... (0,1980]";"14";"13%";"";"";"";"";"";"14";"13%";"";"";"";"";"";""
"... (1980,2000]";"54";"52%";"";"";"";"";"";"54";"52%";"";"";"";"";"";""
"... (2000,2005]";"9";"9%";"";"";"";"";"";"9";"9%";"";"";"";"";"";""
"... (2005,2010]";"9";"9%";"";"";"";"";"";"9";"9%";"";"";"";"";"";""
"... (2010,2021]";"18";"17%";"";"";"";"";"";"18";"17%";"";"";"";"";"";""
"Date_Incorporation";"1992";"1996";"22";"1902";"1989";"2006";"2018";"1991";"1997";"27";"1872";"1990";"2006";"2018";"F=0.086"
"No_AI_PatentsYearGUOtotal";"1.5";"1";"1.1";"0";"1";"2";"9";"2.3";"1";"3.2";"0";"1";"2";"28";"F=5.918**"
"No_subs_extended";"26";"14";"40";"1";"4.8";"32";"318";"30";"12";"54";"1";"4.8";"32";"399";"F=0.373"
"operating_revenue_turnover";"518226";"187215";"913778";"1.1";"47543";"585561";"5985910";"856706";"145657";"2152772";"0";"37138";"426805";"13228949";"F=1.612"
"number_of_employees";"3859";"1168";"9380";"0";"296";"3274";"60200";"6580";"837";"24903";"3";"347";"3120";"193077";"F=0.672"
"number_patents_year";"39";"17";"50";"1";"5";"55";"231";"86";"23";"236";"1";"8.5";"44";"1522";"F=2.391"
"NoPatentsYearGUOalone";"64";"11";"160";"0";"0.75";"53";"1362";"78";"16";"191";"0";"1";"69";"1603";"F=0.293"
"NoPatentsYearALLSubs";"25";"3";"56";"0";"0";"18";"300";"86";"7";"361";"0";"0";"50";"3461";"F=2.853*"
"Stock_value";"8.1";"2.2";"34";"-36";"1.4";"5.5";"268";"1.5";"2.1";"20";"-154";"0.94";"4.5";"32";"F=1.787"
"Market_capitalisation";"7.9";"2.3";"30";"-27";"1.3";"5.5";"236";"1";"2";"22";"-168";"0.9";"3.8";"27";"F=2.267"
"total_granted_ai";"0";"0";"0";"0";"0";"0";"0";"3.3";"1";"10";"1";"1";"2";"94";"F=11.123***"
