"Variable";"Mean";"Median";"Sd";"Min";"Pctile[25]";"Pctile[75]";"Max";"Mean";"Median";"Sd";"Min";"Pctile[25]";"Pctile[75]";"Max";"Test"
"new_treat";"0";"";"";"";"";"";"";"1";"";"";"";"";"";"";""
"Quartile";"75";"";"";"";"";"";"";"75";"";"";"";"";"";"";"X2=0"
"... Bottom";"3";"4%";"";"";"";"";"";"3";"4%";"";"";"";"";"";""
"... IQR";"16";"21%";"";"";"";"";"";"16";"21%";"";"";"";"";"";""
"... Top";"56";"75%";"";"";"";"";"";"56";"75%";"";"";"";"";"";""
"CurrentYear";"2017";"2017";"2";"2013";"2015";"2018";"2019";"2017";"2017";"2";"2013";"2015";"2018";"2019";"F=0"
"Year_before_adoption";"2014";"2014";"2";"2010";"2012";"2016";"2016";"2014";"2014";"2";"2010";"2012";"2016";"2016";"F=0"
"Relatedness_Cos2";"15";"13";"11";"0";"7";"24";"48";"18";"18";"11";"0";"10";"27";"42";"F=3.63*"
"NoPatentsYearGUOtotal";"65";"20";"111";"0";"6.5";"60";"649";"155";"47";"476";"0";"12";"133";"3978";"F=2.586"
"Specializations_Number";"9";"5";"9.9";"0";"2";"13";"41";"12";"10";"12";"0";"3.5";"16";"71";"F=3.356*"
"UniqueCodes";"3.2";"3";"1.8";"1";"2";"5";"7";"3.5";"3";"1.8";"1";"2";"5";"8";"F=0.879"
"UniqueSubclass";"15";"9";"17";"1";"3";"24";"69";"22";"14";"29";"1";"5.2";"27";"197";"F=2.998*"
"Herfindahl";"0.42";"0.33";"0.29";"0.068";"0.22";"0.56";"1";"0.36";"0.29";"0.26";"0.068";"0.18";"0.48";"1";"F=1.478"
"Shannon";"1.9";"1.8";"1.2";"0";"0.93";"3";"4.5";"2.3";"2.2";"1.2";"0";"1.5";"3.1";"5.1";"F=2.211"
"AIcodes";"1.4";"1";"1.2";"0";"0";"2";"5";"1.5";"1";"1.4";"0";"0";"3";"5";"F=0.016"
"Rate_granted";"0.39";"0.4";"0.27";"0";"0.17";"0.6";"0.96";"0.64";"0.67";"0.22";"0.087";"0.51";"0.8";"1";"F=37.401***"
