"Variable";"Mean";"Median";"Sd";"Min";"Pctile[25]";"Pctile[75]";"Max";"Mean";"Median";"Sd";"Min";"Pctile[25]";"Pctile[75]";"Max";"Test"
"avg_claims";"18";"16";"14";"0";"10";"20";"87";"15";"15";"7.3";"3.7";"9.1";"18";"36";"F=3.508*"
"avg_number_of_family_members";"5.2";"3.7";"5.1";"1";"2";"6.4";"26";"5.4";"3.6";"5.8";"1";"1.6";"7";"32";"F=0.039"
"avg_backward_citations";"9.3";"4.1";"13";"0";"2.8";"9.9";"69";"8.9";"3";"23";"0";"1.6";"6.3";"177";"F=0.011"
"avg_forward_citations";"5.3";"2.7";"7";"0";"1.6";"5.6";"45";"6.9";"2.6";"20";"0";"1.2";"4.9";"162";"F=0.44"
"avg_time_filing_to_publication";"679";"627";"377";"48";"414";"932";"1701";"863";"830";"415";"228";"559";"1128";"1888";"F=7.938***"
"avg_time_filing_to_grant";"1124";"1147";"495";"264";"779";"1438";"2514";"1194";"1227";"561";"237";"833";"1629";"2296";"F=0.569"
"avg_time_publication_to_grant";"92";"0";"290";"-6.4";"0";"0.33";"1785";"145";"0";"309";"-0.5";"0";"192";"1736";"F=1.009"
"n_granted_na";"26";"10";"42";"1";"4";"28";"270";"51";"16";"151";"0";"5";"42";"1256";"F=1.951"
"n_granted_yes";"41";"9";"74";"0";"1";"30";"379";"106";"32";"331";"1";"5.2";"86";"2722";"F=2.717"
"Rate_success_subs";"0.48";"0.57";"0.34";"0";"0.21";"0.73";"1";"0.64";"0.68";"0.28";"0";"0.51";"0.86";"1";"F=6.753**"
"Rate_success_HQ";"0.39";"0.39";"0.28";"0";"0.17";"0.59";"1";"0.6";"0.65";"0.27";"0";"0.45";"0.78";"1";"F=16.538***"
"n_granted_yes_HQ";"28";"2";"64";"0";"0";"13";"328";"27";"5";"53";"0";"1";"32";"330";"F=0.012"
"n_granted_na_HQ";"18";"5";"39";"0";"0";"18";"252";"16";"5";"31";"0";"0";"21";"229";"F=0.162"
"avg_time_filing_to_publication_HQ";"616";"570";"320";"97";"383";"850";"1564";"844";"755";"432";"98";"581";"1134";"2154";"F=10.055***"
"avg_time_filing_to_grant_HQ";"1015";"1107";"517";"207";"556";"1331";"2514";"1250";"1251";"580";"196";"770";"1697";"2320";"F=4.479**"
"avg_time_publication_to_grant_HQ";"99";"0";"330";"-6.6";"0";"0";"1785";"188";"0";"363";"-0.28";"0";"271";"1736";"F=1.597"
"n_granted_yes_subsidiaries";"13";"1";"32";"0";"0";"13";"212";"79";"2";"329";"0";"0";"47";"2722";"F=2.953*"
"n_granted_na_subsidiaries";"7.5";"2";"16";"0";"0";"8";"96";"36";"2.5";"150";"0";"0";"14";"1256";"F=2.517"
"avg_time_filing_to_publication_subsidiaries";"731";"711";"463";"48";"265";"1039";"1701";"916";"844";"635";"229";"349";"1158";"3152";"F=2.777*"
"avg_time_filing_to_grant_subsidiaries";"1118";"1187";"573";"126";"605";"1521";"2252";"1149";"995";"738";"218";"570";"1521";"3492";"F=0.048"
"avg_time_publication_to_grant_subsidiaries";"34";"0";"92";"-4.4";"0";"0";"352";"39";"0";"102";"-0.5";"0";"4.1";"462";"F=0.049"
"Patent_productivity";"0.00065";"0";"0.0019";"0";"0";"0.00019";"0.011";"0.0008";"0.000095";"0.0019";"0";"0";"0.00051";"0.0093";"F=0.124"
"Patent_output_per_employee";"0.045";"0";"0.29";"0";"0";"0.0013";"2";"0.0039";"0";"0.0096";"0";"0";"0.0035";"0.05";"F=0.968"
"RandD_Year";"35774";"10072";"62011";"0";"843";"36342";"270028";"44877";"10111";"87883";"0";"2666";"34095";"452929";"F=0.329"
"Size_class";"75";"";"";"";"";"";"";"75";"";"";"";"";"";"";"X2=0"
"... Large company";"3";"4%";"";"";"";"";"";"3";"4%";"";"";"";"";"";""
"... Medium sized company";"11";"15%";"";"";"";"";"";"11";"15%";"";"";"";"";"";""
"... Small company";"6";"8%";"";"";"";"";"";"6";"8%";"";"";"";"";"";""
"... Very large company";"55";"73%";"";"";"";"";"";"55";"73%";"";"";"";"";"";""
"Agegroup";"75";"";"";"";"";"";"";"75";"";"";"";"";"";"";"X2=0"
"... (0,1980]";"5";"7%";"";"";"";"";"";"5";"7%";"";"";"";"";"";""
"... (1980,2000]";"41";"55%";"";"";"";"";"";"41";"55%";"";"";"";"";"";""
"... (2000,2005]";"6";"8%";"";"";"";"";"";"6";"8%";"";"";"";"";"";""
"... (2005,2010]";"8";"11%";"";"";"";"";"";"8";"11%";"";"";"";"";"";""
"... (2010,2021]";"15";"20%";"";"";"";"";"";"15";"20%";"";"";"";"";"";""
"Date_Incorporation";"1997";"1999";"18";"1902";"1993";"2008";"2017";"1995";"1998";"25";"1872";"1992";"2008";"2017";"F=0.12"
"No_AI_PatentsYearGUOtotal";"1.8";"1";"2.5";"0";"1";"2";"21";"3.5";"2";"6.3";"0";"1";"3";"42";"F=4.55**"
"No_subs_extended";"28";"13";"46";"1";"4";"32";"318";"30";"10";"56";"1";"3";"32";"399";"F=0.019"
"operating_revenue_turnover";"558745";"191181";"847664";"6.5";"35651";"693551";"4354617";"1108558";"108964";"2940364";"0";"15137";"443321";"15024825";"F=1.775"
"number_of_employees";"4831";"1113";"10943";"1";"124";"4888";"63600";"8453";"1032";"30156";"4";"308";"3611";"199698";"F=0.61"
"number_patents_year";"35";"12";"58";"1";"2.8";"54";"337";"88";"26";"187";"3";"13";"68";"1137";"F=3.044*"
"NoPatentsYearGUOalone";"45";"7";"99";"0";"0";"28";"580";"42";"9";"80";"0";"1";"48";"559";"F=0.035"
"NoPatentsYearALLSubs";"20";"3";"45";"0";"0";"20";"308";"113";"6";"474";"0";"0";"56";"3978";"F=2.892*"
"Stock_value";"6.9";"3.1";"9.2";"0.31";"1.7";"8";"41";"3.5";"2.5";"7.6";"-35";"1.5";"5.1";"20";"F=3.528*"
"Market_capitalisation";"6.5";"3";"8.8";"0.26";"1.6";"7.6";"42";"3.7";"2.4";"7.2";"-27";"1";"4.5";"24";"F=2.606"
"total_granted_ai";"0";"0";"0";"0";"0";"0";"0";"4.1";"1";"12";"1";"1";"2";"94";"F=8.967***"
